pk,uri
28,http://purl.obolibrary.org/obo/MFMO_0000002
23,http://purl.obolibrary.org/obo/MFMO_0000009
22,http://purl.obolibrary.org/obo/MFMO_0000324
6,http://purl.obolibrary.org/obo/MFMO_0000073
7,http://purl.obolibrary.org/obo/MFMO_0000060
10,http://purl.obolibrary.org/obo/MFMO_0000063
9,http://purl.obolibrary.org/obo/MFMO_0000068
11,http://purl.obolibrary.org/obo/MFMO_0000064
17,http://purl.obolibrary.org/obo/MFMO_0000312
44,
30,http://purl.obolibrary.org/obo/MFMO_0000065
54,
36,http://purl.obolibrary.org/obo/MFMO_0000074
38,
4,
27,http://purl.obolibrary.org/obo/MFMO_0000304
2,http://purl.obolibrary.org/obo/MFMO_0000081
32,http://purl.obolibrary.org/obo/MFMO_0000082
37,http://purl.obolibrary.org/obo/MFMO_0000075
1,http://purl.obolibrary.org/obo/MFMO_0000079
31,
5,http://purl.obolibrary.org/obo/MFMO_0000083
16,http://purl.obolibrary.org/obo/MFMO_0000312
8,http://purl.obolibrary.org/obo/MFMO_0000084
18,http://purl.obolibrary.org/obo/MFMO_0000069
41,http://purl.obolibrary.org/obo/MFMO_0000058
13,http://purl.obolibrary.org/obo/MFMO_0000305
14,http://purl.obolibrary.org/obo/MFMO_0000306
29,
35,http://purl.obolibrary.org/obo/MFMO_0000307
19,http://purl.obolibrary.org/obo/MFMO_0000070
20,http://purl.obolibrary.org/obo/MFMO_0000071
12,http://purl.obolibrary.org/obo/MFMO_0000066
26,http://purl.obolibrary.org/obo/MFMO_0000061
25,http://purl.obolibrary.org/obo/MFMO_0000303
15,http://purl.obolibrary.org/obo/MFMO_0000325
33,http://purl.obolibrary.org/obo/MFMO_0000086
40,http://purl.obolibrary.org/obo/MFMO_0000085
3,http://purl.obolibrary.org/obo/MFMO_0000087
34,http://purl.obolibrary.org/obo/MFMO_0000088
24,http://purl.obolibrary.org/obo/MFMO_0000089
43,http://purl.obolibrary.org/obo/MFMO_0000160
21,http://purl.obolibrary.org/obo/MFMO_0000326
42,http://purl.obolibrary.org/obo/MFMO_0000308
